Row Labels,Sum of TOT_SALES,,,,
2018,976441.15,,,,
Jul,165275.3,,,,
Aug,158081.05,,,,
Sep,160522,,,,
Oct,164415.7,,,,
Nov,160233.7,,,,
Dec,167913.4,,,,
2019,956673.85,,,,
Jan,162642.3,,,,
Feb,150665,,,,
Mar,166265.2,,,,
Apr,159845.1,,,,
May,156717.65,,,,
Jun,160538.6,,,,
Grand Total,1933115,,,,
,,,,,
,,,,,
,,,,,
Row Labels,Sum of TOT_SALES,,,,
Budget,676211.55,,,,
Mainstream,750744.5,,,,
Premium,506158.95,,,,
Grand Total,1933115,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Sum of TOT_SALES,Column Labels,,,,
Row Labels,Budget,Mainstream,Premium,Grand Total,
MIDAGE SINGLES/COUPLES,35514.8,90803.85,58432.65,184751.3,
NEW FAMILIES,21928.45,17013.9,11491.1,50433.45,
OLDER FAMILIES,168363.25,103445.55,80658.4,352467.2,
OLDER SINGLES/COUPLES,136769.8,133393.8,132263.15,402426.75,
RETIREES,113147.8,155677.05,97646.05,366470.9,
YOUNG FAMILIES,139345.85,92788.75,84025.5,316160.1,
YOUNG SINGLES/COUPLES,61141.6,157621.6,41642.1,260405.3,
Grand Total,676211.55,750744.5,506158.95,1933115,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,Trial Shop,Total Sales
Trial Shops,Sum of TOT_SALES,,,Feb,2283.4
2018,13401.65,,,Mar,2504
Jul,2202.2,,,Apr,2287.6
Aug,2087.85,,,,
Sep,2337.6,,,,
Oct,2306.8,,,Control Shop,Total Sales
Nov,2300.8,,,Feb,148381.6
Dec,2166.4,,,Mar,163761.2
2019,13572.95,,,Apr,157557.5
Jan,2107.8,,,,
Feb,2283.4,,,,
Mar,2504,,,,
Apr,2287.6,,,,
May,2197.55,,,,
Jun,2192.6,,,,
Grand Total,26974.6,,,,
,,,,,
,,,,,
,,,,,
Control Shops,Sum of TOT_SALES,,,,
2018,963039.5,,,,
2019,943100.9,,,,
Jan,160534.5,,,,
Feb,148381.6,,,,
Mar,163761.2,,,,
Apr,157557.5,,,,
May,154520.1,,,,
Jun,158346,,,,
Grand Total,1906140.4,,,,
